,Wave (Angstroms),Throughput
906,9870.0,4.883103523795318e-05
907,9880.0,4.868411677712616e-05
908,9890.0,4.8535875231924176e-05
909,9900.0,4.8344955887328245e-05
910,9910.0,4.819428297308012e-05
911,9920.0,4.804224109855046e-05
912,9930.0,4.788883931579838e-05
913,9940.0,4.773409710952534e-05
914,9950.0,4.753738183211286e-05
915,9960.0,4.7380037043870674e-05
916,9970.0,4.7221384021421766e-05
917,9980.0,4.70614288900543e-05
918,9990.0,4.690004907921458e-05
919,10000.0,4.669724356613087e-05
920,10002.7412109375,4.6659548350324466e-05
921,10010.0,4.6713608193461554e-05
922,10020.0,4.678736128747112e-05
923,10030.0,4.686040749144772e-05
924,10040.0,4.69327993491345e-05
925,10050.0,4.6964191590870095e-05
926,10060.0,4.7035143498162415e-05
927,10070.0,4.710543647913008e-05
928,10080.0,4.717507501835405e-05
929,10090.0,4.7244052938675826e-05
930,10100.0,4.731243061095099e-05
931,10110.0,4.738014261458792e-05
932,10120.0,4.740655527133494e-05
933,10130.0,4.7473004325496644e-05
934,10140.0,4.7538850800313323e-05
935,10150.0,4.7604088806983245e-05
936,10160.0,4.766885307900638e-05
937,10170.0,4.773299790921859e-05
938,10180.0,4.779653802523286e-05
939,10190.0,4.7818576466437616e-05
940,10200.0,4.7881037499275e-05
941,10210.0,4.7946216133504314e-05
942,10220.0,4.801098566769554e-05
943,10230.0,4.807521681467153e-05
944,10240.0,4.813896465629632e-05
945,10250.0,4.82022236992875e-05
946,10260.0,4.826507330326578e-05
947,10270.0,4.832744098300476e-05
948,10280.0,4.838938183349058e-05
949,10290.0,4.840927874752033e-05
950,10300.0,4.847032636533264e-05
951,10310.0,4.853101074577928e-05
952,10320.0,4.859127654518459e-05
953,10330.0,4.865111855262877e-05
954,10340.0,4.871059979473953e-05
955,10350.0,4.876978675378645e-05
956,10360.0,4.8828596748307535e-05
957,10370.0,4.8887058963477385e-05
958,10380.0,4.894514521579805e-05
959,10390.0,4.9003000425693075e-05
960,10400.0,4.906049420457022e-05
961,10410.0,4.911951025434804e-05
962,10420.0,4.917829713860583e-05
963,10430.0,4.923678235141873e-05
964,10440.0,4.929503645584249e-05
965,10450.0,4.9353065983196425e-05
966,10460.0,4.9368302657728604e-05
967,10470.0,4.942581649429827e-05
968,10480.0,4.948315078328542e-05
969,10490.0,4.954026424989755e-05
970,10500.0,4.959719667462114e-05
971,10510.0,4.961382868489253e-05
972,10520.0,4.963032112242017e-05
973,10530.0,4.96466150768525e-05
974,10540.0,4.9662776133855054e-05
975,10550.0,4.967872450576968e-05
976,10560.0,4.9694546662704635e-05
977,10570.0,4.971030135341626e-05
978,10580.0,4.972584990946129e-05
979,10590.0,4.9741330809079135e-05
980,10600.0,4.9756747217624055e-05
981,10610.0,4.9768452533576145e-05
982,10620.0,4.978009293405084e-05
983,10630.0,4.9791672119826746e-05
984,10640.0,4.9803245262402195e-05
985,10650.0,4.981475017087831e-05
986,10660.0,4.9826252228711415e-05
987,10670.0,4.9837769115850154e-05
988,10680.0,4.984927669969678e-05
989,10690.0,4.990369288735524e-05
990,10700.0,4.991528841708089e-05
991,10710.0,4.992687788616041e-05
992,10720.0,4.9938534348128674e-05
993,10730.0,4.995026805877284e-05
994,10740.0,4.996206509235541e-05
995,10750.0,4.997392923787224e-05
996,10760.0,4.998593688571212e-05
997,10770.0,4.999807789589721e-05
998,10780.0,5.001029266605952e-05
999,10790.0,5.0022714094804044e-05
1000,10800.0,5.003526861363965e-05
1001,10810.0,5.005032311534848e-05
1002,10820.0,5.006559217584544e-05
1003,10830.0,5.008105871937034e-05
1004,10840.0,5.009667064858811e-05
1005,10850.0,5.0112563851160706e-05
1006,10860.0,5.012866201361852e-05
1007,10870.0,5.0188157072947064e-05
1008,10880.0,5.02048228684337e-05
1009,10890.0,5.022169384201691e-05
1010,10900.0,5.023892079163723e-05
1011,10910.0,5.025635385299978e-05
1012,10920.0,5.0274129347048534e-05
1013,10930.0,5.029226160714055e-05
1014,10940.0,5.031074013406913e-05
1015,10950.0,5.032955819445039e-05
1016,10960.0,5.034865710420681e-05
1017,10970.0,5.036818048952161e-05
1018,10980.0,5.043140679422678e-05
1019,10990.0,5.0451776109205435e-05
1020,11000.0,5.046221643521514e-05
1021,11010.0,5.047881803693535e-05
1022,11020.0,5.0495423714583226e-05
1023,11030.0,5.051203346885955e-05
1024,11040.0,5.052864730046519e-05
1025,11050.0,5.054526521010109e-05
1026,11060.0,5.05618871984683e-05
1027,11070.0,5.0621930329322404e-05
1028,11080.0,5.063857475272817e-05
1029,11090.0,5.065522326047176e-05
1030,11100.0,5.0671875853255106e-05
1031,11110.0,5.0688532531780215e-05
1032,11120.0,5.0705193296749175e-05
1033,11130.0,5.072185814886409e-05
1034,11140.0,5.073852708882726e-05
1035,11150.0,5.0798731482294906e-05
1036,11160.0,5.08154229035752e-05
1037,11170.0,5.08321184183187e-05
1038,11180.0,5.084881802722856e-05
1039,11190.0,5.0865521731007974e-05
1040,11200.0,5.088222953036025e-05
1041,11210.0,5.094521345760647e-05
1042,11220.0,5.0964604589676366e-05
1043,11230.0,5.0984000647145544e-05
